Provincias;País de residencia;Meses;Total
Alicante/Alacant;Resto de América;Mayo;798
Alicante/Alacant;Resto de América;Junio;377
Alicante/Alacant;Resto de América;Julio;812
Alicante/Alacant;Resto de América;Agosto;1.557
Alicante/Alacant;Resto de América;Septiembre;965
Alicante/Alacant;Resto de América;Octubre;788
Alicante/Alacant;Resto de América;Noviembre;605
Alicante/Alacant;Resto de América;Diciembre;532
Alicante/Alacant;Países africanos;Total;2.174
Alicante/Alacant;Países africanos;Enero;59
Alicante/Alacant;Países africanos;Febrero;0
Alicante/Alacant;Países africanos;Marzo;382
Alicante/Alacant;Países africanos;Abril;123
Alicante/Alacant;Países africanos;Mayo;104
Alicante/Alacant;Países africanos;Junio;160
Alicante/Alacant;Países africanos;Julio;130
Alicante/Alacant;Países africanos;Agosto;727
Alicante/Alacant;Países africanos;Septiembre;126
Alicante/Alacant;Países africanos;Octubre;98
Alicante/Alacant;Países africanos;Noviembre;26
Alicante/Alacant;Países africanos;Diciembre;238
Alicante/Alacant;Resto del mundo;Total;17.248
Alicante/Alacant;Resto del mundo;Enero;798
Alicante/Alacant;Resto del mundo;Febrero;696
Alicante/Alacant;Resto del mundo;Marzo;1.365
Alicante/Alacant;Resto del mundo;Abril;2.090
Alicante/Alacant;Resto del mundo;Mayo;1.342
Alicante/Alacant;Resto del mundo;Junio;2.596
Alicante/Alacant;Resto del mundo;Julio;1.547
Alicante/Alacant;Resto del mundo;Agosto;2.080
Alicante/Alacant;Resto del mundo;Septiembre;1.577
Alicante/Alacant;Resto del mundo;Octubre;1.354
Alicante/Alacant;Resto del mundo;Noviembre;1.164
Alicante/Alacant;Resto del mundo;Diciembre;638
Almería;Total;Total;820.157
Almería;Total;Enero;84.292
Almería;Total;Febrero;75.123
Almería;Total;Marzo;60.658
Almería;Total;Abril;60.302
Almería;Total;Mayo;37.025
Almería;Total;Junio;45.123
Almería;Total;Julio;89.741
Almería;Total;Agosto;134.912
Almería;Total;Septiembre;49.302
Almería;Total;Octubre;51.761
Almería;Total;Noviembre;56.483
Almería;Total;Diciembre;75.436
Almería;Españoles;Total;345.310
Almería;Españoles;Enero;4.633
Almería;Españoles;Febrero;7.095
Almería;Españoles;Marzo;6.613
Almería;Españoles;Abril;28.919
Almería;Españoles;Mayo;15.552
Almería;Españoles;Junio;33.221
Almería;Españoles;Julio;76.269
Almería;Españoles;Agosto;117.057
Almería;Españoles;Septiembre;29.409
Almería;Españoles;Octubre;12.508
Almería;Españoles;Noviembre;6.456
Almería;Españoles;Diciembre;7.578
Almería;Extranjeros;Total;474.847
Almería;Extranjeros;Enero;79.659
Almería;Extranjeros;Febrero;68.028
Almería;Extranjeros;Marzo;54.045
